Id,Manufacturer,Model,Transmission,Color,Miles_Driven,Year_Produced,Engine_Type,Engine_Cap,Category,Price($)
26,Subaru,Tribeca,automatic,other,250000,2007,gasoline,3,suv,7200
27,Subaru,Outback,automatic,green,417000,1997,gasoline,2,universal,1850
28,Subaru,Outback,automatic,violet,377000,1999,gasoline,2.5,universal,3800
29,Subaru,Impreza,mechanical,black,300000,1999,gasoline,2,universal,3000
30,Subaru,Legacy,mechanical,black,270000,2004,gasoline,2,sedan,6200
31,Subaru,Forester,mechanical,green,444444,1999,gasoline,2,universal,3700
32,Subaru,Legacy,automatic,black,299000,1994,gasoline,2.2,universal,650
34,Subaru,Impreza,mechanical,violet,340000,1993,gasoline,1.6,universal,2000
36,Subaru,Legacy,mechanical,black,123456,1991,gasoline,2.2,sedan,800
38,Subaru,Impreza,mechanical,silver,118000,2011,gasoline,2.5,sedan,14950
39,Subaru,Impreza,automatic,black,246113,2008,gasoline,1.5,hatchback,5350
40,Subaru,Outback,automatic,green,128748,2016,gasoline,3.6,universal,17059.12
41,Subaru,Legacy,mechanical,red,100000,1994,gasoline,2,sedan,1700
42,Subaru,Outback,automatic,blue,342790,1999,gasoline,2.5,universal,3500
43,Subaru,Forester,mechanical,silver,390000,1997,gasoline,2,suv,3000
44,Subaru,Forester,automatic,black,215000,2008,gasoline,2.5,universal,8100
45,Subaru,Outback,mechanical,grey,288500,2006,gasoline,2.5,universal,8500
46,Subaru,Tribeca,automatic,grey,225000,2005,gasoline,3,suv,7500
47,Subaru,Outback,automatic,green,310000,2001,gasoline,2.5,liftback,3300
48,Subaru,Forester,automatic,white,121000,2014,gasoline,2,suv,14950
49,Subaru,Forester,automatic,blue,242000,2003,gasoline,2.5,suv,4490
50,Subaru,Outback,mechanical,green,286,1998,gasoline,2.5,universal,2650
52,Subaru,Legacy,automatic,grey,209000,2007,gasoline,2,sedan,6950
53,Subaru,Legacy,mechanical,silver,195000,2006,gasoline,3,sedan,8200
54,Subaru,Outback,automatic,black,126705,2014,gasoline,2.5,universal,16500
55,Subaru,Outback,automatic,other,164153,2008,gasoline,2.5,universal,8500
57,Subaru,Impreza,mechanical,blue,143000,2009,gasoline,1.5,hatchback,6450
58,Subaru,Outback,mechanical,white,463491,2002,gasoline,2.5,universal,3150
60,Subaru,Legacy,mechanical,green,321869,1998,gasoline,2.2,universal,1900
61,Subaru,Legacy,mechanical,other,250000,2005,gasoline,2,sedan,4899
62,Subaru,Forester,mechanical,black,260000,1999,gasoline,2.5,universal,2500
63,Subaru,Forester,mechanical,green,300000,1999,gasoline,2,suv,1700
64,Subaru,Forester,automatic,red,358047,1999,gasoline,2.5,universal,1800
65,Subaru,Forester,mechanical,blue,296000,2003,gasoline,2,universal,6150
66,Subaru,XV,automatic,orange,183000,2012,gasoline,2,suv,12900
68,Subaru,Legacy,automatic,red,116000,2010,gasoline,2.5,sedan,7250
69,Subaru,Legacy,mechanical,blue,450000,1995,gasoline,2,universal,900
70,Subaru,Outback,automatic,brown,180000,2008,gasoline,2.5,universal,9400
71,Subaru,Forester,mechanical,black,343455,2001,gasoline,2,universal,3300
72,Subaru,Legacy,automatic,white,202777,2009,gasoline,2.5,sedan,8200
73,Subaru,Forester,automatic,black,230000,2001,gasoline,2.5,suv,4200
74,Subaru,Justy,mechanical,red,80000,1992,gasoline,1.2,hatchback,2100
75,Subaru,Legacy,automatic,green,408263,1999,gasoline,2.5,universal,1499
76,Subaru,Outback,automatic,black,193,2010,gasoline,2.5,universal,9800
77,Subaru,Legacy,automatic,silver,300000,1998,gasoline,2.5,universal,2500
78,Subaru,Outback,mechanical,green,285000,2001,gasoline,2.5,universal,3650
79,Subaru,Impreza,mechanical,red,363500,1994,gasoline,2,universal,1400
80,Subaru,Legacy,mechanical,silver,127138,2005,gasoline,2.5,sedan,5400
81,Subaru,XV,automatic,grey,88000,2014,gasoline,2,suv,12950
82,Subaru,Forester,automatic,black,128000,2012,gasoline,2,suv,15490
83,Subaru,Outback,automatic,blue,177000,2010,gasoline,2.5,universal,13500
85,Subaru,Forester,mechanical,silver,350000,2000,gasoline,2,universal,2000
86,Subaru,Forester,mechanical,grey,173000,2005,gasoline,2.5,suv,7500
87,Subaru,Forester,automatic,blue,280000,2004,gasoline,2.5,suv,5800
88,Subaru,Forester,mechanical,green,270000,1998,gasoline,2.5,suv,2750
89,Subaru,Outback,automatic,other,310000,1996,gasoline,2,universal,3299
92,Subaru,Legacy,mechanical,green,450000,1996,gasoline,2,universal,1400
93,Subaru,Tribeca,automatic,blue,179000,2008,gasoline,3.6,suv,9900
94,Subaru,Forester,automatic,silver,175000,2013,gasoline,2.5,universal,15900
95,Subaru,Impreza,mechanical,blue,130000,2008,gasoline,2.5,hatchback,13500
96,Subaru,Forester,automatic,silver,305000,1999,gasoline,2.5,suv,3750
97,Subaru,Legacy,automatic,silver,294000,1999,gasoline,2,universal,3400
99,Subaru,Outback,mechanical,violet,353000,2000,gasoline,2.5,universal,4250
100,Subaru,Forester,mechanical,black,400000,2003,gasoline,2,universal,5500
101,Subaru,Impreza,mechanical,green,329786,2001,gasoline,1.6,universal,4100
102,Subaru,Impreza,mechanical,red,230000,2003,gasoline,2,universal,7000
103,Subaru,Forester,mechanical,blue,160000,2010,gasoline,2.5,suv,12600
104,Subaru,Tribeca,automatic,yellow,279000,2008,gasoline,3.6,suv,5400
105,Subaru,Impreza,automatic,silver,80000,2016,gasoline,2,sedan,14500
106,Subaru,Legacy,automatic,blue,394289,2002,gasoline,2.5,universal,3900
107,Subaru,Outback,automatic,blue,256000,2012,gasoline,2.5,universal,14227.45
108,Subaru,Outback,automatic,silver,160000,2011,gasoline,2.5,suv,17000
110,Subaru,Forester,mechanical,black,218000,1997,gasoline,2.5,suv,3750
111,Subaru,Forester,automatic,silver,273588,2006,gasoline,2.5,universal,6000
112,Subaru,Forester,mechanical,black,103975,2011,gasoline,2.5,suv,15500
113,Subaru,Legacy,mechanical,blue,330000,1995,gasoline,2.2,sedan,1900
116,Subaru,Impreza,automatic,black,205328,2008,gasoline,2.5,hatchback,6499
117,Subaru,Outback,automatic,blue,353624,2001,gasoline,3,universal,5250
118,Subaru,Justy,mechanical,silver,170000,2008,gasoline,1,minivan,5199
119,Subaru,Outback,automatic,other,370000,2004,gasoline,2.5,universal,6000
121,Subaru,Forester,automatic,black,233000,2000,gasoline,2,universal,6800
122,Subaru,Impreza,mechanical,green,354056,1998,gasoline,2.2,universal,1900
123,Subaru,Forester,automatic,black,160000,2010,gasoline,2.5,suv,8650
125,Subaru,Legacy,mechanical,silver,295000,1996,gasoline,2,universal,1565.02
126,Subaru,Outback,automatic,grey,100000,2012,gasoline,2.5,universal,16300
128,Subaru,Impreza,mechanical,green,180000,1998,gasoline,2,sedan,6900
129,Subaru,Outback,automatic,green,60000,2001,gasoline,2.5,universal,2900
132,Subaru,Legacy,mechanical,silver,185075,2003,gasoline,2.5,sedan,7000
135,Subaru,Outback,automatic,blue,405555,2001,gasoline,2.5,universal,4990
137,Subaru,Impreza,mechanical,other,185000,2008,gasoline,1.5,sedan,6300
140,Subaru,Legacy,automatic,red,152888,2009,gasoline,2.5,sedan,11000
141,Subaru,Impreza,mechanical,silver,193000,2009,gasoline,1.5,hatchback,7000
144,Subaru,Forester,mechanical,green,197,1999,gasoline,2,universal,3000
145,Subaru,Forester,automatic,blue,162544,2010,gasoline,2.5,suv,9700
146,Subaru,Forester,mechanical,blue,46671,2017,gasoline,2.5,suv,8790
147,Subaru,Outback,automatic,red,56800,2015,gasoline,2.5,universal,23400
148,Subaru,Legacy,automatic,black,260000,2007,gasoline,3,sedan,6800
149,Subaru,Justy,mechanical,black,150000,2010,gasoline,1,hatchback,6450
150,Subaru,Legacy,automatic,green,334567,1992,gasoline,2.2,universal,1600
151,Subaru,Leone,mechanical,blue,350000,1987,gasoline,1.8,universal,1500
152,Subaru,Legacy,mechanical,silver,388000,1996,gasoline,2,universal,2300
153,Subaru,Justy,mechanical,silver,96370,2009,gasoline,1,hatchback,5500
154,Subaru,Legacy,automatic,grey,300000,2007,gasoline,2,universal,5999
155,Subaru,Impreza,automatic,white,280000,2007,gasoline,2,sedan,9000
156,Subaru,WRX,automatic,white,69500,2014,gasoline,2,sedan,24900
157,Subaru,Outback,automatic,white,237000,2004,gasoline,3,universal,6150
158,Subaru,Forester,automatic,silver,289740,2001,gasoline,2.5,universal,4200
159,Subaru,Legacy,automatic,silver,164000,2001,gasoline,2,sedan,3700
160,Subaru,Impreza,automatic,red,280000,1997,gasoline,2,sedan,1500
161,Subaru,XV,automatic,grey,95000,2012,gasoline,2,suv,12999
162,Subaru,Impreza,automatic,grey,95000,2012,gasoline,2,hatchback,12999
163,Subaru,Forester,mechanical,grey,193000,2008,diesel,2,suv,9481.65
164,Subaru,Legacy,mechanical,black,225000,2006,gasoline,2,sedan,6800
165,Subaru,Outback,automatic,silver,306000,2007,gasoline,2.5,universal,7700
166,Subaru,Outback,automatic,black,362102,1997,gasoline,2.5,universal,2800
168,Subaru,Forester,automatic,white,80467,2015,gasoline,2,suv,22850
169,Subaru,Forester,automatic,white,300000,1998,gasoline,2.5,universal,4990
170,Subaru,Legacy,automatic,silver,270370,2006,gasoline,2.5,sedan,7000
171,Subaru,XV,automatic,red,100000,2012,gasoline,1.6,suv,14000
172,Subaru,Impreza,mechanical,white,236000,1999,gasoline,2,universal,3599
173,Subaru,Legacy,automatic,blue,350000,2004,gasoline,2.5,sedan,4500
174,Subaru,Outback,automatic,other,370149,1996,gasoline,2,universal,3290
175,Subaru,Forester,automatic,green,330000,1998,gasoline,2,universal,4200
176,Subaru,Tribeca,automatic,grey,252000,2007,gasoline,3,suv,8200
177,Subaru,Legacy,mechanical,other,343444,1996,gasoline,2,universal,1800
178,Subaru,Legacy,mechanical,green,212000,1994,gasoline,2.2,universal,2000
179,Subaru,Outback,automatic,other,50000,2009,gasoline,2.5,suv,14300
180,Subaru,Impreza,mechanical,silver,295000,1998,gasoline,2,sedan,1400
181,Subaru,Forester,automatic,other,116000,2015,gasoline,2,suv,18900
183,Subaru,Impreza,mechanical,black,182000,2007,gasoline,1.5,sedan,5500
184,Subaru,Forester,mechanical,red,226800,2001,gasoline,2.5,universal,3799
185,Subaru,Impreza,automatic,white,339572,1997,gasoline,2.2,universal,1600
186,Subaru,Tribeca,automatic,other,104000,2012,gasoline,3.6,suv,13500
187,Subaru,Outback,automatic,black,187000,2011,gasoline,2.5,universal,12300
188,Subaru,Forester,automatic,grey,92300,2012,gasoline,2.5,suv,14499
189,Subaru,Forester,automatic,black,135000,2014,gasoline,2.5,suv,19500
190,Subaru,XV,mechanical,blue,76000,2015,diesel,2,hatchback,14000
191,Subaru,XV,mechanical,grey,72000,2014,gasoline,2,suv,14938.82
193,Subaru,Tribeca,automatic,blue,35000,2006,gasoline,3,suv,6600
194,Subaru,Outback,automatic,blue,170000,2010,gasoline,2.5,universal,11550
195,Subaru,Forester,mechanical,black,364000,2008,gasoline,2,universal,9050
196,Subaru,XV,automatic,grey,25480,2014,gasoline,1.6,hatchback,19499
198,Subaru,Legacy,mechanical,black,144841,2009,gasoline,2.5,sedan,10500
199,Subaru,Legacy,automatic,silver,280000,2004,gasoline,2.5,universal,2800
201,Subaru,Outback,automatic,grey,187000,2010,gasoline,2.5,universal,11650
202,Subaru,Forester,automatic,other,45250,2016,gasoline,2.5,suv,28950
203,Subaru,Forester,automatic,other,80467,2016,gasoline,2.5,suv,27950
204,Subaru,Tribeca,automatic,grey,145000,2007,gasoline,3.6,suv,10750
205,Subaru,Legacy,automatic,violet,333134,1998,gasoline,2.5,sedan,1800
206,Subaru,Outback,automatic,white,175000,2011,gasoline,2.5,universal,12200
207,Subaru,Forester,mechanical,black,170000,1999,gasoline,2,suv,7000
208,Subaru,Impreza,automatic,blue,180000,2007,gasoline,2,hatchback,6650
209,Subaru,Outback,mechanical,other,292901,2004,gasoline,2.5,universal,7100
210,Subaru,Outback,automatic,silver,380000,2005,gasoline,2.5,universal,7000
211,Subaru,Outback,automatic,other,328000,2000,gasoline,2.5,universal,4000
212,Subaru,Legacy,mechanical,silver,235000,2007,gasoline,2,sedan,7100
213,Subaru,Legacy,mechanical,green,26500,1994,gasoline,1.8,universal,1896.99
214,Subaru,Legacy,mechanical,blue,273588,2000,gasoline,2.5,universal,2950
215,Subaru,Forester,mechanical,silver,221100,2006,gasoline,2.5,sedan,5500
216,Subaru,Outback,automatic,black,198242,2005,gasoline,2.5,universal,6800
217,Subaru,Outback,mechanical,blue,263105,2005,gasoline,2.5,universal,7000
218,Subaru,Forester,automatic,silver,109000,2014,gasoline,2.5,universal,17000
219,Subaru,Outback,mechanical,black,350000,2005,gasoline,2.5,universal,6200
220,Subaru,Legacy,automatic,green,200000,1998,gasoline,1.8,universal,1950
222,Subaru,Forester,automatic,black,193121,2010,gasoline,2.5,suv,10499
223,Subaru,Forester,automatic,other,241402,2001,gasoline,2.5,universal,4000
224,Subaru,Legacy,mechanical,green,250000,1997,gasoline,2,universal,2300
225,Subaru,Legacy,automatic,blue,321869,1998,gasoline,2.2,sedan,2500
227,Subaru,Legacy,mechanical,silver,239065,2005,gasoline,2.5,universal,6900
228,Subaru,Legacy,mechanical,silver,25000,1994,gasoline,2,universal,800
229,Subaru,Legacy,automatic,white,185000,2010,gasoline,2.5,sedan,11990
230,Subaru,Outback,automatic,blue,350000,2002,gasoline,2.5,universal,4000
231,Subaru,Forester,automatic,black,198000,2008,gasoline,2.5,suv,10150
232,Subaru,Legacy,automatic,black,205000,2006,gasoline,2,sedan,6200
233,Subaru,Tribeca,automatic,grey,154000,2008,gasoline,3.6,suv,8900
234,Subaru,Forester,automatic,white,225308,2008,gasoline,2.5,suv,11000
235,Subaru,Libero,mechanical,green,178900,1992,gasoline,1.2,minibus,2134.12
236,Subaru,Forester,automatic,red,176000,2012,gasoline,2,suv,11300
237,Subaru,Outback,automatic,black,240000,2012,gasoline,2.5,universal,15500
238,Subaru,Legacy,automatic,silver,325000,2003,gasoline,2,sedan,4650
239,Subaru,Tribeca,automatic,white,140000,2007,gasoline,3.6,suv,10700
240,Subaru,Legacy,automatic,blue,121000,2008,gasoline,2.5,sedan,10300
241,Subaru,Outback,automatic,green,347000,2001,gasoline,3,universal,3950
242,Subaru,Justy,mechanical,black,122000,2009,gasoline,1,hatchback,6200
243,Subaru,Impreza,automatic,other,289682,2002,gasoline,2.5,universal,3000
246,Subaru,Impreza,mechanical,white,98000,2012,gasoline,2.5,sedan,14500
247,Subaru,XV,automatic,silver,93342,2012,gasoline,2,suv,13800
248,Subaru,Outback,automatic,other,52000,2015,gasoline,2.5,suv,35500
249,Subaru,Forester,automatic,silver,199500,2007,gasoline,2.5,suv,7300
250,Subaru,Tribeca,automatic,grey,160934,2011,gasoline,3.6,suv,14000
251,Subaru,Forester,mechanical,green,344400,1997,gasoline,2.5,suv,3414.59
252,Subaru,Impreza,mechanical,blue,155000,2005,gasoline,2,sedan,9800
253,Subaru,Impreza,mechanical,blue,97000,2005,gasoline,2,sedan,8200
254,Subaru,Legacy,mechanical,grey,222089,2008,gasoline,2.5,sedan,10100
255,Subaru,Impreza,mechanical,black,190000,2006,gasoline,2.5,sedan,11500
256,Subaru,Outback,automatic,other,13000,2018,gasoline,2.5,universal,27000
257,Subaru,Legacy,mechanical,red,280000,1990,gasoline,2,sedan,1500
258,Subaru,Forester,automatic,black,150200,2008,gasoline,2.5,suv,8999
259,Subaru,Forester,automatic,green,228527,1999,gasoline,2.5,universal,4000
260,Subaru,Outback,automatic,silver,180000,2005,gasoline,2.5,universal,6500
261,Subaru,Legacy,mechanical,black,350000,1993,gasoline,2,sedan,1000
262,Subaru,Outback,mechanical,blue,449007,2001,gasoline,2.5,universal,2500
263,Subaru,Outback,automatic,black,241402,2010,gasoline,2.5,universal,13400
265,Subaru,Forester,mechanical,blue,453024,2001,gasoline,2.5,universal,3000
266,Subaru,Outback,automatic,black,237000,2005,gasoline,2.5,universal,7000
267,Subaru,Legacy,automatic,blue,390000,1997,gasoline,2.5,universal,2300
269,Subaru,Forester,automatic,grey,305775,2007,gasoline,2.5,universal,9600
270,Subaru,Forester,mechanical,red,518209,1999,gasoline,2.5,universal,3500
271,Subaru,Impreza,automatic,silver,287000,2003,gasoline,2,universal,3400
272,Subaru,Forester,mechanical,silver,325000,2006,gasoline,2,suv,6800
273,Subaru,Forester,automatic,black,390000,2002,gasoline,2.5,sedan,4900
274,Subaru,Libero,mechanical,white,300000,1992,gasoline,1.2,minivan,800
275,Subaru,Outback,automatic,black,500000,2001,gasoline,2.5,universal,3777
276,Subaru,Legacy,mechanical,green,250000,2004,gasoline,2,sedan,4700
277,Subaru,Forester,automatic,blue,179000,2000,gasoline,2.5,universal,3600
278,Subaru,Legacy,automatic,grey,999999,1991,gasoline,2.2,universal,400
279,Subaru,Forester,mechanical,green,270000,2008,diesel,2,suv,10200
280,Subaru,XV,automatic,green,200000,2014,gasoline,2,hatchback,19500
281,Subaru,Impreza,automatic,green,465000,1998,gasoline,2,universal,3000
282,Subaru,Outback,automatic,black,298533,2008,gasoline,2.5,universal,7900
283,Subaru,Legacy,automatic,silver,300000,1990,gasoline,2.2,universal,1150
284,Subaru,Impreza,automatic,grey,138404,2007,gasoline,2.5,sedan,6500
285,Subaru,Tribeca,automatic,silver,140000,2008,gasoline,3.6,suv,10100
287,Subaru,Forester,mechanical,green,276807,1998,gasoline,2.5,suv,2750
288,Subaru,Forester,automatic,white,176000,2011,gasoline,2,universal,11100
289,Subaru,Legacy,mechanical,blue,140000,2000,gasoline,2,sedan,3500
290,Subaru,Forester,automatic,blue,160000,2012,gasoline,2.5,suv,12350
291,Subaru,Forester,automatic,blue,595457,2001,gasoline,2.5,suv,2700
292,Subaru,Impreza,mechanical,silver,58270,2009,gasoline,1.5,hatchback,6750
293,Subaru,Impreza,automatic,silver,222000,2008,gasoline,2,hatchback,8700
294,Subaru,Impreza,mechanical,blue,172000,2006,gasoline,2,sedan,11000
295,Subaru,Impreza,automatic,silver,274000,2006,gasoline,2,sedan,11500
296,Subaru,Legacy,mechanical,blue,329916,1999,gasoline,2.2,universal,2700
298,Subaru,Legacy,automatic,white,260000,1999,gasoline,2.5,sedan,3400
299,Subaru,Outback,mechanical,black,234000,2009,diesel,2,universal,9950
300,Subaru,Legacy,automatic,other,280000,2004,gasoline,3,sedan,8500
301,Subaru,Tribeca,automatic,blue,300947,2006,gasoline,3,suv,5500
302,Subaru,Forester,mechanical,white,280000,1998,gasoline,2,suv,4850
303,Subaru,Forester,automatic,blue,156000,2008,gasoline,2,suv,9150
304,Subaru,Outback,mechanical,other,200000,2004,gasoline,2.5,universal,7200
305,Subaru,Impreza,mechanical,red,368000,1994,gasoline,1.6,sedan,948.5
306,Subaru,Outback,automatic,silver,299000,2006,gasoline,2.5,universal,7000
307,Subaru,Impreza,mechanical,blue,164000,2002,gasoline,2,sedan,4742.47
308,Subaru,Forester,automatic,white,140013,2008,gasoline,2.5,suv,11000
310,Subaru,Outback,automatic,blue,232000,2010,gasoline,2.5,universal,14000
311,Subaru,Tribeca,automatic,grey,257495,2007,gasoline,3.6,suv,9900
312,Subaru,Forester,automatic,silver,120000,2009,gasoline,2.5,suv,12800
313,Subaru,Outback,automatic,green,304166,1998,gasoline,2.5,universal,1850
314,Subaru,Forester,automatic,green,257500,2000,gasoline,2.5,universal,3000
315,Subaru,Outback,automatic,other,145000,1999,gasoline,2,universal,3700
316,Subaru,Forester,automatic,green,265000,2004,gasoline,2.5,universal,6700
317,Subaru,Impreza,automatic,grey,142000,2010,gasoline,2,hatchback,9777
318,Subaru,Outback,automatic,green,260000,2002,gasoline,2.5,universal,4700
319,Subaru,Tribeca,automatic,grey,241402,2008,gasoline,3.6,suv,10000
320,Subaru,Outback,automatic,black,289682,2004,gasoline,2.5,universal,7113.72
321,Subaru,Legacy,mechanical,red,212997,2001,gasoline,2,sedan,3800
322,Subaru,Forester,automatic,grey,79000,2015,gasoline,2,suv,19600
324,Subaru,Legacy,automatic,silver,386243,2002,gasoline,2.5,sedan,4300
325,Subaru,Tribeca,automatic,black,237000,2006,gasoline,3,suv,8600
326,Subaru,Impreza,automatic,silver,215000,2005,gasoline,2,sedan,3800
327,Subaru,Impreza,mechanical,blue,190000,2006,gasoline,2,sedan,7100
328,Subaru,Forester,automatic,other,170000,2008,gasoline,2,suv,9000
329,Subaru,Legacy,mechanical,black,150000,2004,gasoline,3,sedan,9000
330,Subaru,Forester,automatic,violet,275471,2001,gasoline,2.5,universal,4000
331,Subaru,Legacy,automatic,white,225308,2011,gasoline,2.5,sedan,12300
332,Subaru,Outback,automatic,green,233355,2010,gasoline,2.5,suv,13500
333,LADA,Vesta,automatic,grey,64400,2017,gasoline,1.6,sedan,8200
334,LADA,Largus,mechanical,silver,78932,2014,gasoline,1.6,universal,7066.3
335,LADA,Vesta,mechanical,brown,46000,2018,gasoline,1.6,universal,10600
336,LADA,Largus,mechanical,black,30500,2017,gasoline,1.6,universal,8900
337,LADA,Vesta,automatic,red,35460,2018,gasoline,1.8,universal,11450
338,LADA,Vesta,mechanical,red,0,2019,gasoline,1.6,universal,12804.7
339,LADA,XRAY,mechanical,orange,0,2019,gasoline,1.8,suv,12928
340,LADA,Vesta,automatic,brown,55378,2018,gasoline,1.8,universal,11300
341,LADA,Vesta,automatic,orange,7610,2018,gasoline,1.8,universal,12900
342,LADA,Vesta,mechanical,blue,18000,2018,gasoline,1.8,universal,12500
343,LADA,Vesta,mechanical,black,75000,2018,gasoline,1.8,universal,11450
344,LADA,XRAY,mechanical,brown,40000,2018,gasoline,1.6,hatchback,9900
345,LADA,4x4,mechanical,grey,15228,2017,gasoline,1.7,suv,6615.76
346,LADA,XRAY,automatic,other,40000,2017,gasoline,1.8,suv,9950
347,LADA,4x4,mechanical,black,9000,2017,gasoline,1.7,suv,7499
348,LADA,Priora,mechanical,silver,115000,2008,gasoline,1.6,sedan,3000
349,LADA,Priora,mechanical,black,73000,2011,gasoline,1.6,hatchback,3800
350,LADA,Vesta,automatic,red,38000,2018,gasoline,1.8,universal,12999
351,LADA,Vesta,mechanical,orange,13000,2019,gasoline,1.8,universal,13300
352,LADA,Priora,mechanical,white,106600,2015,gasoline,1.6,sedan,5200
353,LADA,Priora,mechanical,grey,320552,2008,gasoline,1.6,sedan,2850
354,LADA,Vesta,automatic,black,42500,2018,gasoline,1.8,universal,11619.08
355,LADA,Vesta,mechanical,grey,15500,2018,gasoline,1.6,universal,10433.45
356,LADA,Priora,mechanical,silver,76000,2009,gasoline,1.6,sedan,3250
357,LADA,4x4,mechanical,blue,110000,2014,gasoline,1.7,suv,4850
358,LADA,Vesta,mechanical,white,53000,2017,gasoline,1.6,sedan,8300
359,LADA,Vesta,mechanical,silver,25000,2018,gasoline,1.6,universal,8800
360,LADA,Largus,mechanical,other,135350,2015,gasoline,1.6,van,6500
361,LADA,Vesta,automatic,black,94000,2017,gasoline,1.8,sedan,8000
362,LADA,Granta,mechanical,other,43524,2012,gasoline,1.6,sedan,5400
363,LADA,111,mechanical,other,256000,1986,gasoline,1.6,sedan,420
364,LADA,Granta,mechanical,red,0,2019,gasoline,1.6,liftback,7806.13
365,LADA,XRAY,automatic,red,75000,2017,gasoline,1.8,hatchback,8536.46
366,LADA,4x4,mechanical,blue,131000,2016,gasoline,1.7,suv,4900
367,LADA,Vesta,mechanical,brown,49200,2018,gasoline,1.6,universal,10700
368,LADA,111,mechanical,red,123456,1977,gasoline,1.1,sedan,120
369,LADA,Kalina,mechanical,black,71000,2012,gasoline,1.6,hatchback,4400
370,LADA,4x4,mechanical,green,1111,1982,gasoline,1.6,suv,1400
371,LADA,Priora,mechanical,silver,170000,2008,gasoline,1.6,sedan,3450
372,LADA,Vesta,mechanical,grey,3150,2019,gasoline,1.6,sedan,11500
373,LADA,XRAY,automatic,black,2000,2019,gasoline,1.8,hatchback,11500
374,LADA,Largus,mechanical,silver,160000,2014,gasoline,1.6,van,4000
376,LADA,Vesta,mechanical,grey,15700,2018,gasoline,1.6,universal,10907.71
377,LADA,Kalina,mechanical,other,198500,2006,gasoline,1.6,sedan,1290
378,LADA,Kalina,mechanical,grey,19000,2015,gasoline,1.5,universal,7000
379,LADA,Kalina,mechanical,black,25997,2017,gasoline,1.6,universal,6876.6
380,LADA,Kalina,mechanical,grey,70000,2015,gasoline,1.6,hatchback,4742.47
381,LADA,Vesta,automatic,red,19800,2017,gasoline,1.6,sedan,9250
382,LADA,Priora,mechanical,black,160000,2009,gasoline,1.6,hatchback,3300
383,LADA,Kalina,mechanical,silver,94000,2014,gasoline,1.6,universal,5000
384,LADA,Largus,mechanical,white,195000,2014,gasoline,1.6,van,4000
385,LADA,Granta,mechanical,black,71000,2013,gasoline,1.6,sedan,3500
386,LADA,Granta,mechanical,blue,112721,2013,gasoline,1.6,sedan,4078.54
387,LADA,Granta,mechanical,grey,92,2012,gasoline,1.6,sedan,3936.26
388,LADA,Vesta,mechanical,grey,151163,2016,gasoline,1.6,sedan,6924.03
389,LADA,Vesta,mechanical,grey,44000,2018,gasoline,1.6,universal,9890
390,LADA,Vesta,mechanical,orange,47000,2018,gasoline,1.6,universal,11026.27
391,LADA,Vesta,automatic,orange,50000,2018,gasoline,1.8,hatchback,12000
393,LADA,Vesta,mechanical,black,90000,2016,gasoline,1.6,sedan,8500
405,LADA,Largus,mechanical,white,85000,2015,gasoline,1.6,universal,7400
406,LADA,111,mechanical,red,359000,1995,gasoline,1.5,hatchback,474.25
407,LADA,Vesta,mechanical,brown,17120,2018,gasoline,1.8,universal,10950
408,LADA,XRAY,mechanical,red,17000,2018,gasoline,1.8,hatchback,12850
409,LADA,Vesta,mechanical,silver,0,2019,gasoline,1.6,sedan,13800
